# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,segment_usage
# Table Description,segment_usage
# Total Rows in DB,252
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,segment_id,time_slot,visit_count,time_slot__HUMAN,time_slot__FORMAT,visit_count__HUMAN,visit_count__FORMAT
207,107,13402953000000000,1,2025-09-21 18:30:00 UTC,WebKit (Chrome),,unknown
208,14,13402953000000000,1,2025-09-21 18:30:00 UTC,WebKit (Chrome),,unknown
209,9,13403039400000000,8,2025-09-22 18:30:00 UTC,WebKit (Chrome),,unknown
210,108,13403039400000000,1,2025-09-22 18:30:00 UTC,WebKit (Chrome),,unknown
211,109,13403125800000000,7,2025-09-23 18:30:00 UTC,WebKit (Chrome),,unknown
212,35,13403125800000000,1,2025-09-23 18:30:00 UTC,WebKit (Chrome),,unknown
213,9,13403125800000000,2,2025-09-23 18:30:00 UTC,WebKit (Chrome),,unknown
214,6,13403125800000000,1,2025-09-23 18:30:00 UTC,WebKit (Chrome),,unknown
215,110,13403212200000000,1,2025-09-24 18:30:00 UTC,WebKit (Chrome),,unknown
216,9,13403298600000000,3,2025-09-25 18:30:00 UTC,WebKit (Chrome),,unknown
217,35,13403298600000000,1,2025-09-25 18:30:00 UTC,WebKit (Chrome),,unknown
218,6,13403298600000000,1,2025-09-25 18:30:00 UTC,WebKit (Chrome),,unknown
219,111,13403298600000000,1,2025-09-25 18:30:00 UTC,WebKit (Chrome),,unknown
220,112,13403298600000000,1,2025-09-25 18:30:00 UTC,WebKit (Chrome),,unknown
221,113,13403385000000000,6,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
222,114,13403385000000000,1,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
223,115,13403385000000000,3,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
224,116,13403385000000000,7,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
225,117,13403385000000000,1,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
226,118,13403385000000000,1,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
227,119,13403385000000000,1,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
228,120,13403385000000000,1,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
229,9,13403385000000000,2,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
230,6,13403385000000000,1,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
231,121,13403385000000000,22,2025-09-26 18:30:00 UTC,WebKit (Chrome),,unknown
232,9,13403471400000000,4,2025-09-27 18:30:00 UTC,WebKit (Chrome),,unknown
233,6,13403471400000000,1,2025-09-27 18:30:00 UTC,WebKit (Chrome),,unknown
234,122,13403471400000000,1,2025-09-27 18:30:00 UTC,WebKit (Chrome),,unknown
235,45,13403471400000000,1,2025-09-27 18:30:00 UTC,WebKit (Chrome),,unknown
236,30,13403557800000000,1,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
237,6,13403557800000000,3,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
238,82,13403557800000000,2,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
239,9,13403557800000000,8,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
240,23,13403557800000000,1,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
